id,code,country,height,lat,lon,name,type
1797,DEHE080,Germany,111,50.122444,8.970566,Hanau (9432),background
1798,DENI021,Germany,195,51.401684,9.659119,Hann. Münden,industrial
1799,DENI054,Germany,85,52.362919,9.70612,Hannover,background
1800,DENI149,Germany,67,52.360803,9.712341,Hannover Bornumer Straße,traffic
1801,DENI150,Germany,58,52.347585,9.718975,Hannover Friedrich-Ebert-Straße,traffic
1802,DENI151,Germany,60,52.376901,9.738463,Hannover Kurt-Schumacher-Straße,traffic
1803,DENI152,Germany,59,52.369965,9.754405,Hannover Marienstraße,traffic
1804,DENI153,Germany,58,52.392658,9.734758,Hannover Vahrenwalder Straße,traffic
1805,DENI048,Germany,66,52.359501,9.715769,Hannover Verkehr,traffic
1806,DENI006,Germany,55,52.379776,9.740861,Hannover/Fernmeldeturm,background
1807,DENI001,Germany,54,52.384987,9.741536,Hannover/Innenstadt,traffic
1808,DENI004,Germany,75,52.364761,9.694326,Hannover/Linden _,traffic
1809,DENI002,Germany,52,52.404114,9.78564,Hannover/List,background
1810,DENI003,Germany,59,52.390312,9.857661,Hannover/Misburg,background
1811,DENI055,Germany,55,52.366383,9.755025,Hannover/Südstadt Verkehr,traffic
1812,DENI005,Germany,52,52.424232,9.701613,Hannover/Vinnhorst,industrial
1813,DENI026,Germany,200,51.908592,10.523261,Harlingerode,background
1814,DEST070,Germany,385,51.657169,11.147792,Harzgerode,background
1815,DEBB053,Germany,88,52.563835,14.015253,Hasenholz,background
1816,DENW029,Germany,93,51.403008,7.208572,Hattingen-Blankenstein,background
1817,DEBW009,Germany,112,49.419528,8.6767,Heidelberg,traffic
1818,DEBW124,Germany,113,49.379364,8.687181,Heidelberg Karlsruher Straße (S),traffic
1819,DEBW151,Germany,120,49.407196,8.676972,Heidelberg Mittermaierstraße (S),traffic
1820,DEBW101,Germany,110,49.421368,8.658186,Heidelberg Schwimmbad,background
1821,DEBW050,Germany,480,48.663841,10.156297,Heidenheim,background
1822,DEBW145,Germany,480,48.679333,10.151041,Heidenheim Wilhelmstraße (S),traffic
1823,DEBW015,Germany,157,49.165508,9.224786,Heilbronn,traffic
1824,DEBW131,Germany,170,49.140499,9.221491,Heilbronn Am Wollhaus (S),traffic
1825,DEBW146,Germany,160,49.146549,9.207358,Heilbronn Paulinenstraße (S),traffic
1826,DEBW132,Germany,160,49.146061,9.224819,Heilbronn Weinsberger Straße (S),traffic
1827,DEBW152,Germany,169,49.146015,9.225861,Heilbronn Weinsberger Straße Ost (S),traffic
